lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,loan_approved,gender,modified_debt_to_income_ratio
5493001R92DY5DI1DI85,16974,IL,17031.0,17031805001.0,C,71,2,405000.0,85.0,360,,2,485000.0,1,155.0,45,7,35-44,No,1,2,4878,13.78,82400,141,1606,1686,56,Non-Hispanic White,True,Male,45.0
549300FGXN1K3HLB1R50,99999,NY,36105.0,36105952500.0,C,3,1,145000.0,97.0,360,,2,155000.0,1,43.0,49,1,25-34,No,1,2,2437,12.93,64300,115,796,1628,41,Non-Hispanic White,True,Male,49.0
549300TUQC6OYE8A0Y96,38900,OR,41067.0,41067030803.0,C,72,2,365000.0,93.52,360,,2,385000.0,1,160.0,20%-<30%,1,25-34,No,1,1,5031,20.67,81400,90,1431,1821,36,Non-Hispanic White,True,Male,25.0
549300HW662MN1WU8550,24860,SC,45045.0,45045003015.0,C,3,2,235000.0,97.0,360,,2,245000.0,1,93.0,38,2,25-34,No,1,2,8407,19.56,64200,168,2484,2845,14,Non-Hispanic Black,True,Male,38.0
549300D36J5CQX0I4F44,99999,MI,26005.0,26005030300.0,C,71,2,175000.0,74.04,360,,2,235000.0,1,73.0,20%-<30%,1,25-34,No,1,1,7485,8.1,58700,140,2408,2758,31,Non-Hispanic White,True,Male,25.0
549300CY7WNAHKHYSJ73,17820,CO,8041.0,8041002502.0,C,1,2,335000.0,95.0,360,,2,355000.0,1,101.0,38,3,35-44,No,1,1,4135,27.52,77900,93,721,907,47,Non-Hispanic White,True,Male,38.0
E57ODZWZ7FF32TWEFA76,35614,NY,36005.0,36005022403.0,C,8,2,75000.0,63.64,360,,2,115000.0,1,55.0,20%-<30%,1,35-44,No,2,5,3502,83.5,78000,59,101,74,76,Non-Hispanic White,True,Female,25.0
254900GHOV7VQ9CSKN31,29540,PA,42071.0,42071011804.0,C,71,2,275000.0,90.0,360,,2,305000.0,1,202.0,20%-<30%,3,25-34,No,1,2,8381,24.41,73800,116,2586,3135,39,Non-Hispanic White,True,Male,25.0
549300PC4MFWQBNVKG88,23104,TX,48439.0,48439111013.0,C,72,2,245000.0,95.0,360,,2,265000.0,1,126.0,30%-<36%,9,35-44,No,1,1,8365,56.74,75000,102,2012,2707,12,Non-Hispanic Black,True,Male,33.0
5493001PXRJMPLXPG540,26820,ID,16019.0,16019971302.0,C,1,1,275000.0,80.0,360,,2,345000.0,1,131.0,20%-<30%,3,45-54,No,1,1,4856,17.94,62100,132,1369,1863,35,Non-Hispanic White,True,Male,25.0
549300KTR1JGH3K6LU06,27260,FL,12031.0,12031014412.0,C,1,2,235000.0,95.0,360,,2,255000.0,1,60.0,41,8,25-34,No,1,1,14612,40.58,69900,175,3726,4097,10,Non-Hispanic White,True,Male,41.0
5493003V40VGM7YDFM54,39340,UT,49049.0,49049010305.0,C,9,2,405000.0,80.0,360,,2,505000.0,1,118.0,30%-<36%,1,25-34,No,2,2,2954,10.83,74700,134,676,762,20,Non-Hispanic White,True,Male,33.0
549300FGXN1K3HLB1R50,34820,SC,45051.0,45051050500.0,C,3,2,105000.0,80.64,360,,2,125000.0,1,31.0,42,3,>74,Yes,1,2,4826,24.58,61700,94,1220,2179,31,Non-Hispanic White,True,Female,42.0
SS1TRMSN6BRNMOREEV51,40140,CA,6065.0,6065047900.0,C,1,2,445000.0,77.0,360,,2,585000.0,1,327.0,39,2,55-64,No,2,1,12895,49.9,65800,193,3165,3625,16,Non-Hispanic White,True,Male,39.0
549300GKFNPRWNS0GF29,38900,OR,41067.0,41067033301.0,C,0,2,415000.0,95.0,360,,2,435000.0,1,211.0,<20%,1,35-44,No,1,1,6110,27.25,81400,90,1440,1880,23,Non-Hispanic White,True,Male,15.0
549300VZVN841I2ILS84,48424,FL,12099.0,12099007912.0,C,71,2,385000.0,95.0,360,,2,405000.0,1,168.0,38,1,35-44,No,1,1,9118,36.49,74300,119,2190,2885,18,Non-Hispanic White,True,Male,38.0
549300DD4R4SYK5RAQ92,99999,MO,29029.0,29029950800.0,C,1,2,125000.0,80.0,360,,2,155000.0,1,96.0,47,2,55-64,No,1,1,7828,3.42,53100,85,1999,3179,25,Non-Hispanic White,True,Female,47.0
549300HW662MN1WU8550,35614,NJ,34029.0,34029722002.0,C,3,2,575000.0,80.0,360,,2,815000.0,1,180.0,30%-<36%,2,25-34,No,1,2,8652,19.81,78000,107,2923,3130,29,Non-Hispanic White,True,Male,33.0
549300AENO88GEUWCZ39,99999,WI,55081.0,55081950900.0,C,9,2,175000.0,80.0,180,,2,225000.0,1,106.0,20%-<30%,3,25-34,No,1,1,5091,5.01,67800,109,1587,2041,39,Non-Hispanic White,True,Male,25.0
549300DD4R4SYK5RAQ92,31084,CA,6037.0,6037574400.0,C,3,2,405000.0,80.0,360,,2,505000.0,1,129.0,41,2,25-34,No,1,1,5310,35.14,69300,182,1627,1951,0,Non-Hispanic White,True,Female,41.0
549300KIOYNU323LVJ37,19740,CO,8059.0,8059012044.0,C,5,2,525000.0,90.0,360,,2,665000.0,1,237.0,20%-<30%,3,45-54,No,1,1,3842,18.77,89900,147,851,970,22,Non-Hispanic White,True,Male,25.0
549300FGXN1K3HLB1R50,40900,CA,6061.0,6061021309.0,C,0,2,515000.0,78.4,360,,2,665000.0,1,174.0,37,3,35-44,No,3,1,11193,33.73,80400,141,2687,2774,13,Non-Hispanic White,False,Male,37.0
SS1TRMSN6BRNMOREEV51,45780,OH,39095.0,39095008400.0,C,1,2,65000.0,80.0,180,,2,75000.0,1,147.0,36,1,<25,No,2,1,4631,20.99,67200,106,1363,1743,44,Non-Hispanic White,True,Female,36.0
549300GSYIBSO9N4PB10,28020,MI,26077.0,26077006103.0,C,1,1,115000.0,97.0,360,,2,125000.0,1,29.0,38,7,25-34,No,1,1,4901,3.96,70300,100,1478,1864,37,Non-Hispanic White,True,Female,38.0
549300DD4R4SYK5RAQ92,16740,NC,37179.0,37179021013.0,C,9,2,325000.0,99.91,360,,2,335000.0,1,76.0,41,3,45-54,No,1,1,4888,24.41,71300,128,1374,1665,13,Non-Hispanic White,True,Male,41.0
54930041L7ZI432VT094,26900,IN,18057.0,18057110810.0,C,6,1,225000.0,95.0,360,,2,235000.0,1,95.0,44,2,35-44,No,1,1,6510,15.55,75100,133,2369,2630,24,Non-Hispanic White,True,Male,44.0
549300DD4R4SYK5RAQ92,27260,FL,12031.0,12031014331.0,C,1,2,255000.0,77.27,360,,2,335000.0,1,41.0,50%-60%,2,35-44,No,1,2,5193,17.66,69900,107,1570,2044,25,Non-Hispanic White,True,Male,55.0
549300TLGCPJTEG3WN76,15540,VT,50007.0,50007002701.0,C,0,2,125000.0,94.709,360,,2,185000.0,1,42.0,36,3,25-34,No,1,6,5685,12.54,93000,113,1760,1949,33,Non-Hispanic White,True,Male,36.0
549300GKFNPRWNS0GF29,34980,TN,47037.0,47037019114.0,C,1,2,255000.0,94.41,360,,2,275000.0,1,95.0,30%-<36%,1,35-44,No,1,1,11592,34.88,73200,136,3942,4111,10,Non-Hispanic White,True,Female,33.0
549300FGXN1K3HLB1R50,99999,MO,29213.0,29213480401.0,C,3,2,185000.0,80.0,360,,2,235000.0,1,95.0,30%-<36%,2,35-44,No,1,1,5951,3.63,53100,82,1761,2519,26,Non-Hispanic White,True,Male,33.0
549300HW662MN1WU8550,38900,OR,41051.0,41051009701.0,C,1,2,305000.0,97.0,360,,2,315000.0,1,60.0,48,1,35-44,No,1,1,5999,36.56,81400,64,1103,1766,48,Non-Hispanic White,True,Female,48.0
549300YB1H2FRI6JPM51,11460,MI,26161.0,26161403300.0,C,0,2,265000.0,80.0,360,,2,325000.0,1,105.0,36,3,25-34,No,1,1,4148,24.76,92900,96,1176,1424,46,Non-Hispanic White,True,Male,36.0
6BYL5QZYBDK8S7L73M02,19124,TX,48121.0,48121020307.0,NC,0,2,475000.0,90.0,360,,2,595000.0,1,147.0,>60%,1,25-34,No,1,6,10121,17.61,77200,178,3022,3483,13,Non-Hispanic White,False,Male,65.0
5493005NIBYLNJC10826,41940,CA,6085.0,6085503115.0,NC,6,2,765000.0,80.0,360,,2,1025000.0,1,238.0,30%-<36%,2,25-34,No,1,6,6528,60.85,123400,103,2256,2390,14,Non-Hispanic White,True,Male,33.0
549300KIOYNU323LVJ37,33700,CA,6099.0,6099000504.0,C,5,2,395000.0,87.64,360,,2,445000.0,1,119.0,46,3,45-54,No,1,1,9417,64.02,60700,183,2271,2834,21,Non-Hispanic White,True,Male,46.0
549300JA1J2RX1MKI366,16700,SC,45035.0,45035010503.0,C,8,2,235000.0,90.0,360,,2,275000.0,1,64.0,41,1,65-74,Yes,1,1,2991,17.45,74500,113,838,1108,24,Non-Hispanic White,True,Female,41.0
549300SHE1JTCOWBP090,24660,NC,37151.0,37151030302.0,C,0,2,115000.0,100.0,360,60,2,115000.0,1,63.0,39,3,55-64,No,1,6,2879,61.17,59800,64,426,1089,46,Non-Hispanic White,True,Male,39.0
549300FGXN1K3HLB1R50,40900,CA,6067.0,6067002900.0,C,3,2,325000.0,80.0,360,,2,405000.0,1,115.0,20%-<30%,2,35-44,No,2,2,5219,47.73,80400,88,1348,2232,65,Non-Hispanic White,True,Female,25.0
549300DD4R4SYK5RAQ92,26420,TX,48201.0,48201530900.0,C,1,2,425000.0,90.0,360,,2,475000.0,1,185.0,37,3,35-44,No,1,1,4431,49.27,75600,115,1116,1412,47,Non-Hispanic White,True,Male,37.0
SS1TRMSN6BRNMOREEV51,29460,FL,12105.0,12105013102.0,C,1,2,205000.0,90.0,360,,2,225000.0,1,69.0,41,3,25-34,No,2,1,3312,26.9,53600,73,792,1667,43,Non-Hispanic White,True,Female,41.0
