lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,gender,modified_debt_to_income_ratio,loan_approved
549300KBWX4NV5Q1E376,43524,MD,24031,24031700400,NC,1,2,715000,70.209,360,0,2,1025000,1,333,20%-<30%,1,55-64,No,1,1,2068,13.68,118700,120,670,891,47,Non-Hispanic White,Female,25,TRUE
5493004P4H8ZQPCUJ047,47664,MI,26125,26125192500,C,1,2,335000,80,360,0,2,415000,1,109,30%-<36%,9,25-34,No,1,1,3142,20.66,83200,197,1056,1055,28,Non-Hispanic White,Male,33,TRUE
549300ZMO1A0DHCESP30,43300,TX,48181,48181000901,C,71,2,105000,80,180,0,2,135000,1,38,38,3,65-74,Yes,1,1,3625,10.1,65200,122,988,1434,37,Non-Hispanic White,Female,38,TRUE
6BYL5QZYBDK8S7L73M02,19124,TX,48113,48113001101,C,3,2,315000,69.26,360,0,2,455000,1,159,20%-<30%,1,35-44,No,1,2,3545,31.62,77200,119,700,1654,66,Non-Hispanic White,Male,25,TRUE
5493007I0X1GRWIU8B34,36260,UT,49011,49011126202,C,1,2,215000,75,360,0,2,295000,1,124,<20%,3,55-64,No,1,1,10708,8.27,76800,134,2570,2690,11,Non-Hispanic White,Female,15,TRUE
SS1TRMSN6BRNMOREEV51,0,CA,0,0,C,0,2,545000,90,360,0,2,605000,1,121,30%-<36%,1,25-34,No,3,1,0,0,0,0,0,0,0,Non-Hispanic White,Male,33,FALSE
549300FGXN1K3HLB1R50,99999,WA,53075,53075000100,C,0,2,375000,93.82,360,0,2,405000,1,144,40,2,25-34,No,3,2,7239,23.87,65000,40,59,832,44,Non-Hispanic White,Male,40,FALSE
549300SC9Z72JZIKY819,99999,OH,39037,39037560100,C,3,2,85000,90,360,0,2,95000,1,58,40,3,65-74,Yes,1,2,7279,3.17,61400,97,2209,3047,57,Non-Hispanic White,Male,40,TRUE
254900R9A6TW85BTVS20,38060,AZ,4013,4013116727,C,3,2,305000,80,360,0,2,375000,1,92,44,7,65-74,Yes,2,2,3707,20.72,69100,210,1175,1524,20,Non-Hispanic White,Male,44,TRUE
5493005WWQ2221ORBN75,12060,GA,13067,13067030905,C,6,2,195000,97,360,0,2,205000,1,68,30%-<36%,2,25-34,No,1,1,8208,73.67,74400,85,1399,2074,24,Non-Hispanic Black,Male,33,TRUE
SS1TRMSN6BRNMOREEV51,48424,FL,12099,12099004601,C,1,2,235000,71.69,360,0,2,325000,1,52,48,2,55-64,No,2,1,3879,66.49,74300,60,649,1114,44,Non-Hispanic White,Female,48,TRUE
5493005RDTT7HVODH436,40380,NY,36117,36117021100,C,0,2,105000,80,360,0,2,125000,1,72,42,9,45-54,No,1,6,5112,16,74000,75,1178,1693,64,Non-Hispanic White,Male,42,FALSE
54930034MNPILHP25H80,19124,TX,48139,48139060212,C,3,2,185000,80,360,0,2,225000,1,68,46,3,35-44,No,1,1,5178,33.06,77200,101,1035,1348,11,Non-Hispanic White,Male,46,TRUE
54930001NSTOD85LT125,41540,MD,24047,24047951100,C,3,2,165000,80,360,0,2,205000,1,51,30%-<36%,1,55-64,Yes,1,2,5962,9.24,69200,128,2407,4459,19,Non-Hispanic White,Female,33,TRUE
549300DT53TVM4JSTM24,33460,MN,27019,27019090100,C,1,2,245000,95,360,0,2,255000,1,125,30%-<36%,1,25-34,No,2,1,5956,4.37,93600,108,1898,2158,28,Non-Hispanic White,Male,33,TRUE
549300ZUZB0H1M5M3I66,29460,FL,12105,12105013400,C,0,2,85000,95,360,120,2,95000,1,65,20%-<30%,3,35-44,No,1,6,5149,44.67,53600,72,997,1997,52,Non-Hispanic White,Male,25,TRUE
549300GRGZDEH4ZGQS06,33340,WI,55131,55131420105,C,6,2,235000,95,360,0,2,245000,1,110,20%-<30%,1,35-44,No,1,2,4926,12.71,77300,93,991,1411,40,Non-Hispanic White,Female,25,TRUE
549300D0TGZMG03GNM36,0,TX,0,0,C,9,2,315000,90,360,0,2,355000,1,96,30%-<36%,2,25-34,No,1,2,0,0,0,0,0,0,0,Non-Hispanic White,Female,33,TRUE
549300GRGZDEH4ZGQS06,10740,NM,35001,35001003806,C,1,2,195000,90,360,0,2,225000,1,124,20%-<30%,1,55-64,No,1,1,3496,25.57,65000,141,1260,1570,20,Non-Hispanic White,Male,25,TRUE
549300SHE1JTCOWBP090,24660,NC,37081,37081015706,C,0,2,315000,80,360,60,2,395000,1,126,38,3,65-74,Yes,1,6,5720,34.46,59800,237,1812,2143,21,Non-Hispanic White,Male,38,TRUE
549300VZVN841I2ILS84,14500,CO,8013,8013013305,C,6,2,365000,95,360,0,2,385000,1,100,30%-<36%,1,35-44,No,1,1,4814,32.72,108600,66,1279,1510,28,Non-Hispanic White,Female,33,TRUE
549300KBWX4NV5Q1E376,43524,MD,24021,24021775302,C,3,2,335000,75,360,0,2,445000,1,124,45,1,45-54,No,1,2,4316,20.18,118700,87,1174,1573,46,Non-Hispanic White,Male,45,TRUE
549300QVQQMJ9IWR0G78,13820,AL,1073,1073014413,C,0,2,405000,95,360,0,2,425000,1,185,30%-<36%,1,25-34,No,1,1,9221,17.5,69400,193,3085,3716,17,Non-Hispanic White,Male,33,TRUE
549300HW662MN1WU8550,35004,NY,36103,36103158900,C,1,2,385000,90,360,0,2,425000,1,85,43,3,25-34,No,1,1,7379,45.03,116700,71,1426,2201,53,Non-Hispanic White,Female,43,TRUE
6BYL5QZYBDK8S7L73M02,46220,AL,1125,1125010406,NC,0,2,625000,80,360,0,2,785000,1,138,39,1,35-44,No,2,1,5189,12.64,60800,183,1684,1877,28,Non-Hispanic White,Male,39,TRUE
54930057D962HC4SF615,36740,FL,12117,12117021311,C,72,2,345000,70.761,360,0,2,485000,1,145,20%-<30%,1,25-34,No,1,1,4309,42.17,62900,140,1048,1482,26,Non-Hispanic White,Male,25,TRUE
549300IPZIRQSNKHX741,30700,NE,31109,31109003709,C,71,1,305000,95,360,0,2,315000,1,139,30%-<36%,9,45-54,No,1,1,5010,4.57,78600,135,1482,1554,25,Non-Hispanic Black,Male,33,TRUE
SS1TRMSN6BRNMOREEV51,38900,OR,41067,41067030803,C,3,2,195000,97,360,0,2,205000,1,78,45,2,25-34,No,1,2,5031,20.67,81400,90,1431,1821,36,Non-Hispanic White,Male,45,TRUE
549300R8VPSFM828B312,35004,NY,36103,36103111402,C,0,2,395000,90,360,60,2,445000,1,104,40,2,25-34,No,1,1,4685,12.27,116700,124,1588,1794,56,Non-Hispanic White,Male,40,TRUE
549300KBWX4NV5Q1E376,41540,DE,10005,10005051301,C,6,2,345000,79.927,360,85,2,435000,1,126,36,9,>74,Yes,1,1,5748,8.63,69200,121,2002,3834,20,Non-Hispanic White,Male,36,TRUE
549300VIRTE6O2776X89,99999,WV,54103,54103030800,C,0,2,95000,90,360,60,2,105000,1,168,20%-<30%,1,35-44,No,1,6,1468,5.52,52200,103,462,680,55,Non-Hispanic White,Male,25,TRUE
549300RAGLSEPN0V3D13,26420,TX,48157,48157673101,C,6,2,365000,95,360,0,2,385000,1,176,49,1,35-44,No,1,1,53812,46.07,75600,209,13975,15386,8,Non-Hispanic White,Male,49,TRUE
7DMUJTL9FFTVIAG9H788,41180,MO,29189,29189217500,C,0,2,375000,80,360,84,2,465000,1,98,48,2,25-34,No,1,1,5344,9.09,76600,260,1819,2034,54,Non-Hispanic White,Male,48,TRUE
549300FGXN1K3HLB1R50,46140,OK,40143,40143007639,C,3,2,235000,79.31,360,0,2,295000,1,72,45,2,55-64,No,1,2,5172,26.99,65800,143,1306,1515,30,Non-Hispanic White,Female,45,TRUE
6BYL5QZYBDK8S7L73M02,31084,CA,6037,6037462301,C,0,2,305000,80,360,60,2,385000,1,221,20%-<30%,1,35-44,No,1,2,4500,71.44,69300,85,427,1091,56,Non-Hispanic White,Male,25,FALSE
549300HW662MN1WU8550,33124,FL,12086,12086006900,C,3,2,315000,90,360,0,2,385000,1,185,<20%,3,25-34,No,1,1,6258,84.5,52300,97,1357,2065,66,Non-Hispanic White,Female,15,TRUE
SS1TRMSN6BRNMOREEV51,26420,TX,48201,48201430300,NC,0,2,995000,64.87,360,0,2,1545000,1,444,40,3,35-44,No,2,6,4620,17.66,75600,360,1468,1535,40,Non-Hispanic White,Male,40,TRUE
GOJ1L4ZO0WN3FOYLH432,11180,IA,19169,19169010600,C,1,2,145000,80,360,0,2,175000,1,85,30%-<36%,9,25-34,No,1,1,5426,6.19,79800,90,1631,1914,42,Non-Hispanic White,Male,33,TRUE
549300UXY7OP0IC38293,99999,MI,26005,26005031200,C,3,2,125000,95,360,0,2,145000,1,38,44,7,35-44,No,1,2,5600,13.93,58700,104,1210,1716,65,Non-Hispanic White,Male,44,TRUE
549300Y7G2MW6V1OR474,38300,PA,42007,42007603000,C,6,1,145000,95,360,0,2,145000,1,46,20%-<30%,3,35-44,No,1,1,3039,1.12,75500,100,1006,1296,39,Non-Hispanic White,Male,25,TRUE
549300VZVN841I2ILS84,26900,IN,18057,18057110403,C,71,1,415000,95,360,0,2,445000,1,123,38,1,35-44,No,1,1,10363,15.26,75100,137,2688,3225,14,Non-Hispanic White,Male,38,TRUE
6BYL5QZYBDK8S7L73M02,99999,TN,47041,47041920200,C,3,2,75000,50,360,0,2,155000,1,34,30%-<36%,3,35-44,No,1,2,6639,11.19,50100,82,1469,3072,40,Non-Hispanic White,Female,33,TRUE
549300HW662MN1WU8550,31140,KY,21111,21111012103,C,0,2,175000,97,360,0,2,185000,1,73,45,3,45-54,No,1,1,2975,5.98,70400,83,868,1309,56,Non-Hispanic Black,Female,45,FALSE
549300EFCZM6KD6B8K69,17460,OH,39093,39093050100,C,71,2,115000,80,360,0,2,145000,1,171,20%-<30%,1,25-34,No,2,1,3310,6.04,70700,119,1203,1238,35,Non-Hispanic White,Male,25,TRUE
254900DTLB5WWMBJAD86,33340,WI,55133,55133203704,C,0,2,315000,80,360,60,2,395000,1,86,>60%,3,35-44,No,1,6,5031,6.86,77300,156,1485,1789,29,Non-Hispanic White,Male,65,TRUE
5493008GYZEYGLI3NQ97,42644,WA,53033,53033028300,C,3,2,255000,85,360,0,2,305000,1,66,36,2,25-34,No,1,1,5018,52.11,103400,98,1505,1737,36,Non-Hispanic White,Male,36,TRUE
549300TLGCPJTEG3WN76,15540,VT,50007,50007004002,C,3,2,185000,58.065,360,0,2,315000,1,67,42,2,<25,No,1,2,4609,18.77,93000,101,1310,1680,48,Non-Hispanic White,Male,42,TRUE
549300FGXN1K3HLB1R50,33460,MN,27037,27037060738,C,3,2,195000,97,360,0,2,205000,1,45,41,3,25-34,No,1,2,3323,33.79,93600,85,767,1047,35,Non-Hispanic White,Male,41,TRUE
5493001SDQVS1NWYH012,41940,CA,6085,6085512503,C,1,1,655000,89.939,360,86,2,815000,1,296,38,2,25-34,No,1,1,7895,47.27,123400,135,2214,2599,23,Non-Hispanic White,Male,38,TRUE
ZF85QS7OXKPBG52R7N18,99999,WI,55091,55091950200,C,3,2,135000,95,360,0,2,145000,1,107,20%-<30%,1,25-34,No,1,1,3349,2.45,67800,106,1167,1779,41,Non-Hispanic White,Male,25,TRUE
549300KIOYNU323LVJ37,38900,WA,53011,53011042400,C,1,2,255000,95,360,0,2,265000,1,76,49,3,45-54,No,1,1,2250,22.84,81400,121,124,87,15,Non-Hispanic White,Male,49,TRUE
549300GSYIBSO9N4PB10,28020,MI,26077,26077002003,C,1,1,125000,97,360,0,2,125000,1,41,20%-<30%,3,35-44,No,1,1,5592,12.16,70300,152,1413,1956,27,Non-Hispanic White,Male,25,TRUE
5493001VQ02LHMFEXJ21,20524,NY,36027,36027190204,C,0,2,555000,95,360,120,2,575000,1,180,39,1,35-44,No,1,1,5359,28.59,97400,114,1550,1804,41,Non-Hispanic Black,Male,39,TRUE
5493000OM9RKJW8W5K82,31084,CA,6037,6037535400,C,6,2,345000,95,360,0,2,365000,1,84,44,2,25-34,No,1,1,3411,99.5,69300,44,241,749,65,Non-Hispanic White,Male,44,TRUE
549300YB1H2FRI6JPM51,34740,MI,26121,26121002400,C,0,2,165000,70,360,36,2,245000,1,49,38,1,65-74,Yes,1,2,3368,14.64,59300,123,1002,1184,44,Non-Hispanic White,Male,38,TRUE
SS1TRMSN6BRNMOREEV51,29404,IL,17097,17097864001,C,1,2,355000,95,360,0,2,375000,1,172,20%-<30%,9,25-34,No,2,1,6626,40.96,96500,83,1376,1669,35,Non-Hispanic White,Male,25,TRUE
549300FGXN1K3HLB1R50,19380,OH,39109,39109325000,C,1,1,95000,75,360,0,2,125000,1,39,49,1,65-74,Yes,1,1,2847,3.27,65700,83,666,1135,64,Non-Hispanic White,Male,49,TRUE
549300FNXYY540N23N64,15764,MA,25017,25017316500,C,3,2,405000,89.888,360,0,2,465000,2,94,45,1,45-54,No,1,2,6451,11.73,110300,112,1783,2162,50,Non-Hispanic White,Female,45,TRUE
549300NB6LOZ96BDSU42,19740,CO,8014,8014030600,C,6,2,285000,90,360,0,2,315000,1,60,39,1,35-44,No,2,1,6130,31.44,89900,95,1778,2150,33,Non-Hispanic White,Male,39,TRUE
549300JYXTZDSPJEPI44,28020,MI,26077,26077002601,C,1,2,145000,95,360,0,2,155000,1,92,43,1,45-54,No,1,1,4784,5.2,70300,126,1600,2199,52,Non-Hispanic White,Female,43,TRUE
SS1TRMSN6BRNMOREEV51,11540,WI,55087,55087013100,C,0,2,95000,100,360,0,2,105000,1,61,30%-<36%,3,35-44,No,1,1,5710,6.88,77900,88,1549,1931,36,Non-Hispanic White,Male,33,TRUE
549300ONBM4MGXXBTA44,12940,LA,22063,22063040301,NC,0,2,565000,80,360,0,2,705000,1,140,50%-60%,1,35-44,No,1,1,9074,5.57,74500,102,2612,3193,23,Non-Hispanic White,Male,55,FALSE
549300LE3ZOZXUS7W648,35380,LA,22103,22103040605,C,6,2,395000,85,360,0,2,465000,1,117,41,1,45-54,No,1,2,6636,17.37,65700,135,1779,2354,19,Non-Hispanic White,Male,41,TRUE
549300DAUXQ2DCY4H838,31700,NH,33011,33011001000,C,9,2,135000,97,360,0,2,135000,1,41,43,7,25-34,No,1,1,5798,8.3,94100,107,1580,1987,27,Non-Hispanic White,Male,43,TRUE
5493005ICQ3QGEIWV618,35004,NY,36103,36103146402,C,6,2,345000,97,360,0,2,355000,1,82,44,1,25-34,No,1,1,4091,18.43,116700,109,1044,1264,49,Non-Hispanic White,Male,44,TRUE
549300FGXN1K3HLB1R50,40140,CA,6071,6071012002,C,0,2,145000,97,360,0,2,145000,1,46,40,3,25-34,No,1,1,5446,65,65800,102,1074,1916,43,Non-Hispanic White,Male,40,TRUE
54930057D962HC4SF615,38060,AZ,4013,4013816000,C,6,2,165000,39.733,360,0,2,415000,1,62,20%-<30%,1,55-64,No,1,1,12261,21.69,69100,189,2844,3435,9,Non-Hispanic White,Female,25,TRUE
549300BES7HNVKCDIM50,27980,HI,15009,15009031000,C,3,2,455000,90,360,0,2,505000,1,126,20%-<30%,3,35-44,No,1,2,8985,79.82,81400,118,2198,2935,26,Non-Hispanic White,Male,25,TRUE
IWRZQFYIRJ0IMURZBB68,33340,WI,55131,55131460101,C,3,1,325000,80,360,0,2,405000,1,152,37,3,45-54,No,1,2,6196,4.86,77300,157,2239,2486,30,Non-Hispanic White,Male,37,TRUE
54930001NSTOD85LT125,22660,CO,8069,8069001608,NC,71,2,575000,95,360,0,2,605000,1,209,20%-<30%,2,25-34,No,1,2,5359,17.43,85100,160,1438,1546,12,Non-Hispanic White,Male,25,TRUE
549300FK3AFCFVAPH234,15764,MA,25017,25017352900,C,6,2,605000,73.44,360,0,2,815000,1,172,38,2,25-34,No,1,1,2920,17.81,110300,110,700,903,76,Non-Hispanic White,Male,38,TRUE
549300AG64NHILB7ZP05,16974,IL,17031,17031070300,NC,71,2,685000,70,360,0,2,985000,1,231,20%-<30%,2,25-34,No,1,6,3426,19.03,82400,204,660,788,49,Non-Hispanic White,Female,25,TRUE
549300FGXN1K3HLB1R50,10580,NY,36001,36001013300,C,1,2,205000,97,360,0,2,205000,1,51,49,3,25-34,No,1,1,4845,24.21,86400,79,944,1812,76,Non-Hispanic White,Male,49,TRUE
E57ODZWZ7FF32TWEFA76,29404,IL,17097,17097863500,NC,0,2,1005000,54.05,360,84,2,1855000,1,565,<20%,9,45-54,No,1,5,3981,6.28,96500,244,1307,1427,40,Non-Hispanic White,Male,15,TRUE
549300HN58ONH5KNJJ12,31540,WI,55025,55025011402,C,9,1,175000,97,360,0,2,185000,1,56,40,3,35-44,No,1,1,9218,17.94,88600,107,2489,2723,12,Non-Hispanic White,Female,40,TRUE
549300XL5688T9WLKS84,47260,VA,51710,51710001200,C,6,2,155000,90,360,0,2,165000,1,50,20%-<30%,1,25-34,No,1,2,4105,39.73,74800,90,730,1035,54,Non-Hispanic White,Male,25,TRUE
5493001I9VOT1BTB5V75,27100,MI,26075,26075005301,C,71,2,85000,80,360,0,2,115000,1,62,20%-<30%,1,45-54,No,1,1,4584,22.16,62400,123,1512,1742,46,Non-Hispanic White,Female,25,TRUE
549300C1ICNCM0V37Y02,28140,MO,29037,29037060301,C,71,2,295000,80,360,0,2,375000,1,101,38,1,55-64,Yes,1,1,9386,20.19,79900,109,2698,3362,16,Non-Hispanic White,Male,38,TRUE
549300MU2YI0HXIT3257,35840,FL,12081,12081001404,C,1,2,235000,95,360,0,2,245000,1,86,30%-<36%,3,45-54,No,1,1,3462,29.87,70300,85,884,1363,32,Non-Hispanic White,Female,33,TRUE
549300GKFNPRWNS0GF29,27620,MO,29135,29135385100,C,0,2,175000,97,360,0,2,185000,1,89,46,9,45-54,No,1,6,3968,6.33,74500,106,1236,1562,34,Non-Hispanic White,Male,46,TRUE
6BYL5QZYBDK8S7L73M02,16974,IL,17111,17111871402,NC,0,2,5005000,68.49,180,0,2,7305000,1,1428,48,2,45-54,No,3,6,6027,8.01,82400,148,1860,2234,42,Non-Hispanic White,Male,48,FALSE
549300FGXN1K3HLB1R50,31084,CA,6037,6037530602,C,1,2,585000,95,360,0,2,615000,1,188,40,2,25-34,No,1,1,1416,98.66,69300,98,253,379,70,Non-Hispanic White,Male,40,TRUE
SS1TRMSN6BRNMOREEV51,38300,PA,42003,42003455000,C,1,2,145000,80,360,0,2,185000,1,52,49,3,25-34,No,2,1,1432,3,75500,92,521,622,66,Non-Hispanic White,Female,49,TRUE
549300DT53TVM4JSTM24,16860,GA,13047,13047030401,C,1,2,205000,42.474,360,0,2,485000,1,111,20%-<30%,9,45-54,No,2,1,7029,9.6,61700,130,2337,2885,25,Non-Hispanic White,Male,25,TRUE
549300HW662MN1WU8550,19124,TX,48085,48085031708,NC,6,2,965000,80,360,0,2,1215000,1,695,30%-<36%,3,35-44,No,1,6,3875,40.98,77200,160,963,1242,31,Non-Hispanic White,Male,33,TRUE
549300DT53TVM4JSTM24,48864,NJ,34033,34033021300,C,3,2,215000,95,360,0,2,245000,1,77,44,1,25-34,No,1,1,1848,32.03,87900,110,428,561,57,Non-Hispanic White,Male,44,TRUE
549300PL8ER6H23P0Z91,33460,MN,27053,27053026015,C,71,2,365000,80,360,0,2,465000,1,257,30%-<36%,7,35-44,No,1,1,5470,15.94,93600,142,1751,1981,30,Non-Hispanic White,Male,33,TRUE
549300T7J3E2UGY5GL15,24580,WI,55009,55009002002,C,6,2,145000,80,360,0,2,185000,1,40,43,3,45-54,No,1,1,5141,24.63,75600,101,1192,1611,25,Non-Hispanic White,Female,43,TRUE
549300BTFTXJ72LSIY30,35084,NJ,34027,34027043401,C,5,1,365000,82.955,360,0,2,445000,1,213,<20%,7,25-34,No,1,1,7139,15.52,100700,170,2106,2405,47,Non-Hispanic White,Male,15,TRUE
549300CY7WNAHKHYSJ73,39580,NC,37069,37069060502,C,3,2,285000,90,360,0,2,325000,1,66,37,1,35-44,No,1,1,8512,21.69,84300,83,2596,3232,17,Non-Hispanic White,Male,37,TRUE
549300KSOOZZVXCMA627,27260,FL,12031,12031002101,C,0,2,145000,85,360,60,2,175000,1,88,>60%,8,45-54,No,3,6,2856,16.53,69900,105,688,1605,76,Non-Hispanic White,Male,65,FALSE
549300TWPFOYZ33TOU32,99999,MT,30047,30047940400,C,3,2,145000,48.621,360,0,2,295000,1,79,<20%,1,65-74,Yes,1,1,4156,53.03,66700,54,796,1565,34,Non-Hispanic White,Female,15,TRUE
E57ODZWZ7FF32TWEFA76,35614,NY,36119,36119011400,C,8,1,355000,64.13,360,0,2,555000,1,611,30%-<36%,3,35-44,No,1,5,6147,25.85,78000,215,1616,1630,57,Non-Hispanic White,Male,33,TRUE
5493001R92DY5DI1DI85,16974,IL,17031,17031060500,C,3,2,365000,80,360,0,2,465000,1,189,<20%,7,25-34,No,1,2,1242,29.23,82400,159,154,233,61,Non-Hispanic White,Male,15,TRUE
549300YTNLQPR4PKXG57,22744,FL,12011,12011070322,C,0,2,185000,95,360,0,2,195000,1,118,20%-<30%,7,25-34,No,3,1,6699,75.49,65700,86,1194,1142,30,Non-Hispanic White,Male,25,FALSE
5493001PXRJMPLXPG540,14260,ID,16001,16001000500,NC,0,1,475000,80,360,62,2,595000,1,417,38,1,45-54,No,1,1,5975,12.23,69600,112,1858,2814,60,Non-Hispanic White,Male,38,TRUE
549300JYXTZDSPJEPI44,38060,AZ,4013,4013619900,C,3,2,305000,75,360,0,2,425000,1,70,30%-<36%,1,45-54,No,1,1,5701,21.22,69100,176,1596,1908,23,Non-Hispanic White,Female,33,TRUE
549300F8C5JA44WNMI75,10900,PA,42077,42077006302,C,71,2,175000,85,360,0,2,215000,1,48,30%-<36%,2,25-34,No,1,1,7237,21.06,76100,123,2144,2487,21,Non-Hispanic White,Female,33,TRUE
549300DD4R4SYK5RAQ92,19380,OH,39113,39113050103,C,1,2,85000,97,360,0,2,85000,1,35,30%-<36%,2,25-34,No,1,1,8199,32.67,65700,112,1548,2531,22,Non-Hispanic White,Female,33,TRUE
549300FGXN1K3HLB1R50,38060,AZ,4013,4013421201,C,1,2,215000,78.4,360,0,2,275000,1,73,30%-<36%,3,>74,Yes,1,1,5199,45.07,69100,108,604,1113,23,Non-Hispanic White,Female,33,TRUE
5493005XCKCOIX4JMI33,35614,NJ,34029,34029722800,C,71,2,165000,78.1,360,0,2,215000,1,56,48,3,35-44,No,1,1,5246,44.8,78000,102,1104,1229,28,Non-Hispanic White,Female,48,TRUE
549300FGXN1K3HLB1R50,39300,RI,44009,44009050102,C,0,2,355000,95,360,0,2,365000,1,222,48,1,45-54,No,1,1,2192,6.11,80600,148,742,861,39,Non-Hispanic White,Male,48,TRUE
549300FGXN1K3HLB1R50,99999,NH,33007,33007950800,C,3,2,35000,90,360,0,2,35000,1,32,40,2,55-64,Yes,1,2,2271,5.59,80600,70,647,1201,76,Non-Hispanic White,Male,40,TRUE
6BYL5QZYBDK8S7L73M02,22744,FL,12011,12011040601,C,0,2,125000,104.71,360,0,2,135000,1,77,<20%,1,25-34,No,1,2,3495,18.8,65700,203,1105,1229,43,Non-Hispanic White,Male,15,FALSE
549300HW662MN1WU8550,42644,WA,53061,53061041701,C,1,2,465000,94.82,360,0,2,515000,1,113,43,2,25-34,No,1,1,5502,45.46,103400,66,1100,1471,25,Non-Hispanic White,Female,43,TRUE
549300KBWX4NV5Q1E376,16740,NC,37119,37119001802,C,6,2,255000,80,360,0,2,315000,1,70,45,3,65-74,Yes,1,1,2739,43.34,71300,83,499,1048,46,Non-Hispanic White,Male,45,TRUE
6BYL5QZYBDK8S7L73M02,33340,WI,55133,55133202101,C,1,2,255000,80,360,0,2,315000,1,79,43,2,25-34,No,1,2,4277,13.65,77300,131,1489,1467,21,Non-Hispanic White,Female,43,TRUE
549300FGXN1K3HLB1R50,22420,MI,26049,26049012100,C,1,2,55000,94.82,180,0,2,55000,1,124,30%-<36%,2,45-54,No,1,1,2792,8.02,57900,107,891,1142,49,Non-Hispanic White,Female,33,TRUE
549300DPWFIO1S3DF358,45780,OH,39051,39051040100,C,0,2,305000,82.254,360,0,2,365000,1,115,30%-<36%,3,45-54,No,1,1,3278,7.57,67200,126,1066,1325,51,Non-Hispanic White,Male,33,TRUE
ZF85QS7OXKPBG52R7N18,31540,WI,55025,55025003100,C,1,2,195000,94.975,360,0,2,205000,1,82,37,2,45-54,No,1,1,6264,15.76,88600,99,2054,2423,40,Non-Hispanic White,Male,37,TRUE
549300FGXN1K3HLB1R50,33220,MI,26111,26111291101,C,1,2,185000,97,360,0,2,195000,1,95,30%-<36%,3,25-34,No,1,1,3568,5.3,73400,92,1297,1623,36,Non-Hispanic White,Male,33,TRUE
549300VZVN841I2ILS84,15764,MA,25009,25009252602,C,71,2,265000,100,360,0,2,265000,1,83,30%-<36%,2,25-34,No,1,1,4242,14.36,110300,115,1125,1181,30,Non-Hispanic White,Male,33,TRUE
254900TTZ395IC926125,12540,CA,6029,6029002815,C,1,2,75000,90,360,0,2,75000,1,189,<20%,8,65-74,Yes,1,1,4599,66.04,58700,103,590,1131,41,Non-Hispanic White,Female,15,TRUE
549300VSL5DFXBM1II56,41180,MO,29510,29510124300,C,71,2,145000,95,360,0,2,155000,1,60,20%-<30%,3,35-44,No,1,2,2964,28.34,76600,112,866,1792,76,Non-Hispanic White,Male,25,TRUE
549300SHE1JTCOWBP090,16740,NC,37071,37071032704,C,0,2,225000,100,360,60,2,225000,1,108,20%-<30%,3,25-34,No,1,6,4358,38.8,71300,73,697,1140,40,Non-Hispanic White,Male,25,TRUE
549300HW662MN1WU8550,38060,AZ,4013,4013111700,C,1,2,395000,95,360,0,2,415000,1,117,20%-<30%,1,45-54,No,1,1,5888,50.36,69100,76,1196,2460,72,Non-Hispanic White,Female,25,TRUE
549300ZMO1A0DHCESP30,16740,NC,37119,37119005517,C,0,2,275000,92.99,360,0,2,295000,1,73,49,3,35-44,No,1,1,4569,40.75,71300,148,1261,1766,15,Non-Hispanic White,Female,49,TRUE
6BYL5QZYBDK8S7L73M02,41740,CA,6073,6073019208,NC,0,2,695000,80,360,0,2,865000,1,204,41,2,45-54,No,2,1,3334,32.21,81800,105,948,1238,31,Non-Hispanic White,Male,41,TRUE
SS1TRMSN6BRNMOREEV51,45300,FL,12101,12101032111,C,3,2,285000,69.89,360,0,2,405000,1,143,20%-<30%,3,35-44,No,2,2,3144,46.15,63900,145,714,1139,11,Non-Hispanic White,Male,25,TRUE
549300VXVMQO81BHB241,16974,IL,17031,17031823002,C,71,2,145000,80,360,0,2,175000,1,57,45,2,25-34,No,1,1,5837,19.77,82400,85,1355,1448,54,Non-Hispanic White,Male,45,TRUE
549300VZVN841I2ILS84,99999,GA,13187,13187960101,C,71,2,125000,95,360,0,2,135000,1,85,20%-<30%,2,25-34,No,1,1,7156,9.61,48900,125,1778,2950,18,Non-Hispanic White,Male,25,TRUE
549300FGXN1K3HLB1R50,31140,KY,21185,21185030801,C,1,2,455000,79.91,360,0,2,565000,1,110,43,1,45-54,No,1,1,4512,10.04,70400,225,1194,1341,15,Non-Hispanic White,Female,43,TRUE
549300FGXN1K3HLB1R50,19804,MI,26163,26163559200,C,1,1,155000,82.41,360,84,2,185000,1,111,<20%,1,55-64,No,1,1,2029,10.89,55500,135,681,856,0,Non-Hispanic White,Male,15,TRUE
549300SHE1JTCOWBP090,24780,NC,37147,37147001002,C,0,2,65000,67.7966,360,60,2,85000,1,42,<20%,3,65-74,Yes,1,6,6915,32,61400,164,2251,2650,21,Non-Hispanic White,Male,15,TRUE
