lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,gender,modified_debt_to_income_ratio,loan_approved
5493005RDTT7HVODH436,99999,NY,36089,36089490700,C,0,2,85000,97,360,0,2,95000,1,92,30%-<36%,2,45-54,No,1,6,5755,4.71,64300,87,2007,2773,43,Non-Hispanic White,Female,33,TRUE
549300YB1H2FRI6JPM51,28020,MI,26077,26077001906,C,1,2,135000,80,180,0,2,175000,1,74,46,2,<25,No,1,1,4510,14.7,70300,118,847,1238,40,Non-Hispanic White,Male,46,TRUE
549300T7J3E2UGY5GL15,28140,KS,20091,20091053203,C,71,2,305000,54.955,180,0,2,555000,1,343,<20%,8,55-64,Yes,1,1,5228,21.4,79900,182,1212,1420,19,Non-Hispanic White,Male,15,TRUE
5493000OM9RKJW8W5K82,31084,CA,6037,6037920107,C,6,2,605000,80,360,0,2,755000,1,220,20%-<30%,9,35-44,No,1,1,4716,57.15,69300,241,1000,1069,10,Non-Hispanic White,Male,25,TRUE
549300HW662MN1WU8550,37964,PA,42101,42101007400,C,3,2,145000,97,360,0,2,155000,1,85,44,3,25-34,No,1,2,4467,90.98,61700,58,753,1792,73,Non-Hispanic White,Female,44,TRUE
549300TWPFOYZ33TOU32,14260,ID,16001,16001010331,C,6,2,235000,70,360,0,2,325000,1,91,47,1,45-54,No,1,1,20638,9.72,69600,160,5590,6447,13,Non-Hispanic White,Female,47,TRUE
3Y4U8VZURTYWI1W2K376,38060,AZ,4013,4013611800,C,0,2,295000,100,360,0,2,295000,1,222,37,3,25-34,No,1,2,7047,14.74,69100,126,1877,2464,22,Non-Hispanic White,Male,37,TRUE
549300AQN2CY1MGE3J02,19804,MI,26163,26163584000,C,0,2,75000,95,360,0,2,75000,1,48,20%-<30%,1,45-54,No,1,2,4240,29.67,55500,99,972,1298,49,Non-Hispanic White,Female,25,TRUE
7DMUJTL9FFTVIAG9H788,28140,MO,29095,29095018500,C,1,2,305000,66,360,0,2,505000,1,109,44,9,>74,Yes,1,1,3399,19.83,79900,147,1074,1288,18,Non-Hispanic White,Male,44,TRUE
549300NWBS6MQJX15N44,47894,VA,51059,51059415700,C,3,2,585000,94.994,360,0,2,815000,1,239,40,3,35-44,No,1,1,3810,13.91,114900,180,1130,1334,54,Non-Hispanic White,Male,40,TRUE
